movieId,movie_encoded,title
2297,1947,What Dreams May Come (1998)
70159,9321,Orphan (2009)
3000,2572,Princess Mononoke (Mononoke-hime) (1997)
87232,10293,X-Men: First Class (2011)
2279,1931,Urban Legend (1998)
1036,902,Die Hard (1988)
5679,4724,"Ring, The (2002)"
16,15,Casino (1995)
3615,3076,Dinosaur (2000)
1375,1198,Star Trek III: The Search for Spock (1984)
49272,8131,Casino Royale (2006)
68237,9202,Moon (2009)
2797,2390,Big (1988)
8972,6590,National Treasure (2004)
103688,11273,"Conjuring, The (2013)"
3725,3167,American Pop (1981)
81834,10019,Harry Potter and the Deathly Hallows: Part 1 (2010)
34,33,Babe (1995)
193950,15474,Free Solo (2018)
6441,5249,Battle of Britain (1969)
6377,5205,Finding Nemo (2003)
190555,15330,Searching (2018)
94864,10750,Prometheus (2012)
2716,2316,Ghostbusters (a.k.a. Ghost Busters) (1984)
1682,1441,"Truman Show, The (1998)"
7646,6024,Rose Red (2002)
1242,1076,Glory (1989)
4464,3780,"Accidental Tourist, The (1988)"
5110,4299,Super Troopers (2001)
3948,3349,Meet the Parents (2000)
33646,7464,"Longest Yard, The (2005)"
780,691,Independence Day (a.k.a. ID4) (1996)
74916,9653,Greenberg (2010)
96588,10854,Pitch Perfect (2012)
317,298,"Santa Clause, The (1994)"
113862,11783,"Guest, The (2014)"
555,523,True Romance (1993)
4018,3414,What Women Want (2000)
168,156,First Knight (1995)
201773,15831,Spider-Man: Far from Home (2019)
943,818,"Ghost and Mrs. Muir, The (1947)"
5505,4595,"Good Girl, The (2002)"
80463,9908,"Social Network, The (2010)"
277034,17092,The Beasts (2022)
8985,6601,Blade: Trinity (2004)
2107,1789,Halloween H20: 20 Years Later (Halloween 7: The Revenge of Laurie Strode) (1998)
6287,5141,Anger Management (2003)
1399,1220,Marvin's Room (1996)
2117,1799,1984 (Nineteen Eighty-Four) (1984)
588,547,Aladdin (1992)
946,821,To Be or Not to Be (1942)
4973,4189,"Amelie (Fabuleux destin d'Amélie Poulain, Le) (2001)"
74458,9620,Shutter Island (2010)
858,747,"Godfather, The (1972)"
73321,9566,"Book of Eli, The (2010)"
594,552,Snow White and the Seven Dwarfs (1937)
3006,2577,"Insider, The (1999)"
112556,11710,Gone Girl (2014)
2916,2497,Total Recall (1990)
1274,1108,Akira (1988)
6586,5353,American Wedding (American Pie 3) (2003)
4306,3651,Shrek (2001)
1968,1658,"Breakfast Club, The (1985)"
1380,1203,Grease (1978)
2455,2094,"Fly, The (1986)"
93363,10673,John Carter (2012)
92420,10625,Chronicle (2012)
59369,8760,Taken (2008)
459,430,"Getaway, The (1994)"
1202,1039,Withnail & I (1987)
59306,8754,Prom Night (2008)
648,592,Mission: Impossible (1996)
1371,1194,Star Trek: The Motion Picture (1979)
95558,10793,Beasts of the Southern Wild (2012)
1196,1033,Star Wars: Episode V - The Empire Strikes Back (1980)
32,31,Twelve Monkeys (a.k.a. 12 Monkeys) (1995)
79,77,"Juror, The (1996)"
54995,8464,Planet Terror (2007)
471,442,"Hudsucker Proxy, The (1994)"
70728,9359,Bronson (2009)
160,148,Congo (1995)
2100,1784,Splash (1984)
1201,1038,"Good, the Bad and the Ugly, The (Buono, il brutto, il cattivo, Il) (1966)"
33794,7480,Batman Begins (2005)
1217,1053,Ran (1985)
47,46,Seven (a.k.a. Se7en) (1995)
2181,1857,Marnie (1964)
1244,1078,Manhattan (1979)
92259,10617,Intouchables (2011)
139385,12925,The Revenant (2015)
2529,2157,Planet of the Apes (1968)
904,780,Rear Window (1954)
8636,6385,Spider-Man 2 (2004)
6659,5400,Tremors (1990)
592,550,Batman (1989)
1580,1351,Men in Black (a.k.a. MIB) (1997)
95167,10773,Brave (2012)
5151,4331,40 Days and 40 Nights (2002)
3785,3220,Scary Movie (2000)
786,697,Eraser (1996)
109374,11553,"Grand Budapest Hotel, The (2014)"
2542,2170,"Lock, Stock & Two Smoking Barrels (1998)"
58303,8684,"Counterfeiters, The (Die Fälscher) (2007)"
122904,12201,Deadpool (2016)
246,231,Hoop Dreams (1994)
5349,4474,Spider-Man (2002)
7387,5939,Dawn of the Dead (1978)
8665,6405,"Bourne Supremacy, The (2004)"
35836,7557,"40-Year-Old Virgin, The (2005)"
36517,7572,"Constant Gardener, The (2005)"
5784,4795,Ghost Ship (2002)
3327,2846,Beyond the Mat (1999)
435,407,Coneheads (1993)
5325,4456,Dogtown and Z-Boyz (2001)
4448,3771,"Score, The (2001)"
102993,11218,"Way, Way Back, The (2013)"
62849,8982,RocknRolla (2008)
187595,15202,Solo: A Star Wars Story (2018)
745,667,Wallace & Gromit: A Close Shave (1995)
4886,4129,"Monsters, Inc. (2001)"
2028,1717,Saving Private Ryan (1998)
830,727,"First Wives Club, The (1996)"
61236,8899,Waltz with Bashir (Vals im Bashir) (2008)
1172,1011,Cinema Paradiso (Nuovo cinema Paradiso) (1989)
134853,12700,Inside Out (2015)
64839,9051,"Wrestler, The (2008)"
1265,1099,Groundhog Day (1993)
2052,1740,Hocus Pocus (1993)
1046,911,Beautiful Thing (1996)
81132,9969,Rubber (2010)
1717,1464,Scream 2 (1997)
3147,2701,"Green Mile, The (1999)"
167370,14182,Assassin's Creed (2016)
1127,977,"Abyss, The (1989)"
90890,10517,Jack and Jill (2011)
77455,9728,Exit Through the Gift Shop (2010)
589,548,Terminator 2: Judgment Day (1991)
3176,2727,"Talented Mr. Ripley, The (1999)"
1197,1034,"Princess Bride, The (1987)"
515,485,"Remains of the Day, The (1993)"
68073,9190,Pirate Radio (2009)
3984,3382,Diamonds Are Forever (1971)
6373,5202,Bruce Almighty (2003)
2599,2217,Election (1999)
4007,3403,Wall Street (1987)
6502,5291,28 Days Later (2002)
3998,3396,Proof of Life (2000)
1969,1659,"Nightmare on Elm Street 2: Freddy's Revenge, A (1985)"
965,839,"39 Steps, The (1935)"
2359,2002,Waking Ned Devine (a.k.a. Waking Ned) (1998)
69122,9252,"Hangover, The (2009)"
253,238,Interview with the Vampire: The Vampire Chronicles (1994)
115244,11853,Mine Games (2012)
1513,1305,Romy and Michele's High School Reunion (1997)
3061,2624,Holiday Inn (1942)
2391,2034,"Simple Plan, A (1998)"
78499,9792,Toy Story 3 (2010)
6582,5350,Remo Williams: The Adventure Begins (1985)
3081,2642,Sleepy Hollow (1999)
143035,13155,Minutemen (2008)
260,245,Star Wars: Episode IV - A New Hope (1977)
101415,11146,"First Time, The (2012)"
102125,11184,Iron Man 3 (2013)
838,735,Emma (1996)
96829,10878,"Hunt, The (Jagten) (2012)"
176419,14696,Mother! (2017)
49286,8138,"Holiday, The (2006)"
1027,893,Robin Hood: Prince of Thieves (1991)
4887,4130,"One, The (2001)"
46976,7995,Stranger than Fiction (2006)
48394,8080,"Pan's Labyrinth (Laberinto del fauno, El) (2006)"
122900,12199,Ant-Man (2015)
2950,2530,"Blue Lagoon, The (1980)"
49278,8134,Déjà Vu (Deja Vu) (2006)
4223,3585,Enemy at the Gates (2001)
292,275,Outbreak (1995)
3185,2735,Snow Falling on Cedars (1999)
2683,2289,Austin Powers: The Spy Who Shagged Me (1999)
139642,12937,Southpaw (2015)
36,35,Dead Man Walking (1995)
4052,3442,Antitrust (2001)
128360,12377,The Hateful Eight (2015)
1345,1172,Carrie (1976)
733,658,"Rock, The (1996)"
4901,4140,Spy Game (2001)
55071,8473,No End in Sight (2007)
219726,16378,The Old Guard (2020)
4963,4181,Ocean's Eleven (2001)
5524,4610,Blue Crush (2002)
1466,1273,Donnie Brasco (1997)
117529,11983,Jurassic World (2015)
163134,13967,Your Name. (2016)
77307,9718,Dogtooth (Kynodontas) (2009)
89492,10417,Moneyball (2011)
1136,986,Monty Python and the Holy Grail (1975)
1608,1378,Air Force One (1997)
1917,1607,Armageddon (1998)
76251,9688,Kick-Ass (2010)
38388,7630,Goal! The Dream Begins (Goal!) (2005)
6947,5596,Master and Commander: The Far Side of the World (2003)
4643,3932,Planet of the Apes (2001)
8815,6488,Exorcist: The Beginning (2004)
4011,3407,Snatch (2000)
5669,4717,Bowling for Columbine (2002)
5602,4666,"Ladykillers, The (1955)"
70286,9329,District 9 (2009)
45517,7928,Cars (2006)
910,786,Some Like It Hot (1959)
55765,8536,American Gangster (2007)
1029,895,Dumbo (1941)
452,423,Widows' Peak (1994)
2693,2298,Trekkies (1997)
104,101,Happy Gilmore (1996)
61705,8930,Lakeview Terrace (2008)
47640,8031,Beerfest (2006)
509,479,"Piano, The (1993)"
109042,11540,Knights of Badassdom (2013)
2670,2280,Run Silent Run Deep (1958)
2006,1696,"Mask of Zorro, The (1998)"
5378,4496,Star Wars: Episode II - Attack of the Clones (2002)
6807,5514,Monty Python's The Meaning of Life (1983)
1394,1215,Raising Arizona (1987)
3594,3060,Center Stage (2000)
543,512,So I Married an Axe Murderer (1993)
597,555,Pretty Woman (1990)
48,47,Pocahontas (1995)
3307,2832,City Lights (1931)
66,64,Lawnmower Man 2: Beyond Cyberspace (1996)
4844,4095,Bandits (2001)
73017,9542,Sherlock Holmes (2009)
7044,5687,Wild at Heart (1990)
122918,12207,Guardians of the Galaxy 2 (2017)
202393,15860,Always Be My Maybe (2019)
71579,9434,"Education, An (2009)"
81847,10021,Tangled (2010)
7346,5908,"Girl Next Door, The (2004)"
1249,1083,"Femme Nikita, La (Nikita) (1990)"
6611,5368,Umberto D. (1952)
97913,10945,Wreck-It Ralph (2012)
60040,8805,"Incredible Hulk, The (2008)"
82041,10027,"Loved Ones, The (2009)"
2563,2187,Dangerous Beauty (1998)
296,279,Pulp Fiction (1994)
1270,1104,Back to the Future (1985)
218,205,Boys on the Side (1995)
381,360,When a Man Loves a Woman (1994)
3256,2788,Patriot Games (1992)
1991,1681,Child's Play (1988)
1953,1643,"French Connection, The (1971)"
3301,2827,"Whole Nine Yards, The (2000)"
111,106,Taxi Driver (1976)
2470,2108,Crocodile Dundee (1986)
2707,2308,Arlington Road (1999)
2239,1899,Swept Away (Travolti da un insolito destino nell'azzurro mare d'Agosto) (1975)
60341,8832,Standard Operating Procedure (2008)
43936,7825,16 Blocks (2006)
167426,14186,Manifesto (2015)
6769,5481,Mambo Italiano (2003)
1959,1649,Out of Africa (1985)
34150,7507,Fantastic Four (2005)
3257,2789,"Bodyguard, The (1992)"
431,403,Carlito's Way (1993)
4002,3399,"Planes, Trains & Automobiles (1987)"
4666,3950,Skin Deep (1989)
3733,3175,"Paper Chase, The (1973)"
79987,9884,Gainsbourg (Vie Héroïque) (2010)
2108,1790,L.A. Story (1991)
61323,8911,Burn After Reading (2008)
25801,6651,She Done Him Wrong (1933)
114762,11828,Two Night Stand (2014)
3404,2903,Titanic (1953)
160315,13831,AC/DC- Let There Be Rock (1980)
3552,3029,Caddyshack (1980)
106782,11444,"Wolf of Wall Street, The (2013)"
1584,1355,Contact (1997)
148956,13392,How to Be Single (2016)
1610,1380,"Hunt for Red October, The (1990)"
5010,4223,Black Hawk Down (2001)
2804,2397,"Christmas Story, A (1983)"
364,344,"Lion King, The (1994)"
185,173,"Net, The (1995)"
122892,12196,Avengers: Age of Ultron (2015)
6979,5624,WarGames (1983)
94985,10760,Get the Gringo (2012)
2105,1787,Tron (1982)
2571,2194,"Matrix, The (1999)"
91978,10598,Man on a Ledge (2012)
2252,1909,Hero (1992)
165551,14098,Lion (2016)
316,297,Stargate (1994)
2119,1801,Maximum Overdrive (1986)
5587,4655,"Hills Have Eyes Part II, The (1985)"
4681,3962,"War of the Roses, The (1989)"
6156,5043,Shanghai Knights (2003)
3704,3148,Mad Max Beyond Thunderdome (1985)
96751,10874,Arbitrage (2012)
3916,3325,Remember the Titans (2000)
1772,1502,Blues Brothers 2000 (1998)
6787,5496,All the President's Men (1976)
1379,1202,Young Guns II (1990)
8957,6577,Saw (2004)
653,597,Dragonheart (1996)
5989,4933,Catch Me If You Can (2002)
1221,1057,"Godfather: Part II, The (1974)"
355,335,"Flintstones, The (1994)"
349,329,Clear and Present Danger (1994)
188383,15231,Time Trap (2017)
60684,8860,Watchmen (2009)
911,787,Charade (1963)
1527,1315,"Fifth Element, The (1997)"
1517,1308,Austin Powers: International Man of Mystery (1997)
93838,10697,The Raid: Redemption (2011)
1233,1068,"Boot, Das (Boat, The) (1981)"
54001,8403,Harry Potter and the Order of the Phoenix (2007)
102686,11200,"Hangover Part III, The (2013)"
193944,15473,The Ballad of Buster Scruggs (2018)
1291,1125,Indiana Jones and the Last Crusade (1989)
5299,4437,My Big Fat Greek Wedding (2002)
3060,2623,"Commitments, The (1991)"
5618,4680,Spirited Away (Sen to Chihiro no kamikakushi) (2001)
1326,1155,Amityville II: The Possession (1982)
1587,1358,Conan the Barbarian (1982)
2671,2281,Notting Hill (1999)
926,801,All About Eve (1950)
1129,979,Escape from New York (1981)
70,68,From Dusk Till Dawn (1996)
4992,4207,Kate & Leopold (2001)
33660,7466,Cinderella Man (2005)
552,520,"Three Musketeers, The (1993)"
62394,8961,Max Payne (2008)
51662,8270,300 (2007)
1059,921,William Shakespeare's Romeo + Juliet (1996)
3994,3392,Unbreakable (2000)
46578,7971,Little Miss Sunshine (2006)
90405,10472,In Time (2011)
6791,5499,Babette's Feast (Babettes gæstebud) (1987)
51037,8234,Unknown (2006)
2058,1746,"Negotiator, The (1998)"
2496,2128,Blast from the Past (1999)
8094,6179,Bad Day at Black Rock (1955)
4238,3599,Along Came a Spider (2001)
68159,9196,State of Play (2009)
6755,5470,Bubba Ho-tep (2002)
161,149,Crimson Tide (1995)
45720,7944,"Devil Wears Prada, The (2006)"
41226,7709,Sounder (1972)
104243,11307,Riddick (2013)
31123,7229,Ruby & Quentin (Tais-toi!) (2003)
78266,9779,Splice (2009)
2541,2169,Cruel Intentions (1999)
173979,14561,A Nightmare (1896)
3173,2724,Any Given Sunday (1999)
77364,9723,"Losers, The (2010)"
160438,13837,Jason Bourne (2016)
4890,4133,Shallow Hal (2001)
111360,11640,Lucy (2014)
2781,2375,"Tingler, The (1959)"
149334,13404,Nocturnal Animals
90376,10469,We Need to Talk About Kevin (2011)
88744,10364,Rise of the Planet of the Apes (2011)
106100,11417,Dallas Buyers Club (2013)
186,174,Nine Months (1995)
86332,10241,Thor (2011)
5836,4831,Houseboat (1958)
1276,1110,Cool Hand Luke (1967)
4246,3605,Bridget Jones's Diary (2001)
2858,2444,American Beauty (1999)
132456,12555,Lage Raho Munna Bhai (2006)
2329,1974,American History X (1998)
3751,3191,Chicken Run (2000)
48774,8106,Children of Men (2006)
3,2,Grumpier Old Men (1995)
5266,4413,Panic Room (2002)
5903,4877,Equilibrium (2002)
158619,13750,The Faith of Anna Waters (2016)
112852,11726,Guardians of the Galaxy (2014)
4369,3702,"Fast and the Furious, The (2001)"
1041,907,Secrets & Lies (1996)
2064,1751,Roger & Me (1989)
115149,11845,John Wick (2014)
345,325,"Adventures of Priscilla, Queen of the Desert, The (1994)"
5970,4923,My Girl (1991)
3917,3326,Hellraiser (1987)
1588,1359,George of the Jungle (1997)
6118,5020,Blind Chance (Przypadek) (1981)
1333,1161,"Birds, The (1963)"
146656,13293,Creed (2015)
1438,1250,Dante's Peak (1997)
117176,11962,The Theory of Everything (2014)
1298,1131,Pink Floyd: The Wall (1982)
22,21,Copycat (1995)
377,356,Speed (1994)
110102,11591,Captain America: The Winter Soldier (2014)
333,313,Tommy Boy (1995)
2116,1798,"Lord of the Rings, The (1978)"
875,758,Nothing to Lose (1994)
4378,3709,Sexy Beast (2000)
457,428,"Fugitive, The (1993)"
79357,9841,Mr. Nobody (2009)
2167,1844,Blade (1998)
55814,8540,"Diving Bell and the Butterfly, The (Scaphandre et le papillon, Le) (2007)"
6331,5175,Spellbound (2002)
67408,9168,Monsters vs. Aliens (2009)
1704,1458,Good Will Hunting (1997)
379,358,Timecop (1994)
7087,5724,"Passage to India, A (1984)"
7153,5769,"Lord of the Rings: The Return of the King, The (2003)"
50,49,"Usual Suspects, The (1995)"
4545,3851,Short Circuit (1986)
174727,14601,Good Time (2017)
80549,9911,Easy A (2010)
100108,11077,Parker (2013)
293,276,Léon: The Professional (a.k.a. The Professional) (Léon) (1994)
151,139,Rob Roy (1995)
8729,6430,Swann in Love (Un amour de Swann) (1984)
56174,8571,I Am Legend (2007)
72131,9471,Michael Jackson's This Is It (2009)
2442,2082,Hilary and Jackie (1998)
832,729,Ransom (1996)
1262,1096,"Great Escape, The (1963)"
1409,1227,Michael (1996)
40629,7688,Pride & Prejudice (2005)
97936,10949,Anna Karenina (2012)
1485,1285,Liar Liar (1997)
195159,15545,Spider-Man: Into the Spider-Verse (2018)
6711,5440,Lost in Translation (2003)
4226,3588,Memento (2000)
1288,1122,This Is Spinal Tap (1984)
177593,14750,"Three Billboards Outside Ebbing, Missouri (2017)"
201646,15821,Midsommar (2019)
1258,1092,"Shining, The (1980)"
86644,10258,"Fast Five (Fast and the Furious 5, The) (2011)"
3977,3375,Charlie's Angels (2000)
527,497,Schindler's List (1993)
1320,1149,Alien³ (a.k.a. Alien 3) (1992)
74789,9646,Alice in Wonderland (2010)
1015,882,Homeward Bound: The Incredible Journey (1993)
35957,7558,Red Eye (2005)
2,1,Jumanji (1995)
4855,4104,Dirty Harry (1971)
278176,17111,TÁR (2022)
111856,11667,7500 (2014)
47099,7998,"Pursuit of Happyness, The (2006)"
1089,946,Reservoir Dogs (1992)
6281,5136,Phone Booth (2002)
118710,12047,The Frame (2014)
61401,8919,"Spirit, The (2008)"
54272,8423,"Simpsons Movie, The (2007)"
56563,8587,Helvetica (2007)
38038,7618,Wallace & Gromit in The Curse of the Were-Rabbit (2005)
114795,11830,Dracula Untold (2014)
7156,5772,"Fog of War: Eleven Lessons from the Life of Robert S. McNamara, The (2003)"
2600,2218,eXistenZ (1999)
68954,9242,Up (2009)
520,490,Robin Hood: Men in Tights (1993)
8360,6264,Shrek 2 (2004)
91485,10551,"Expendables 2, The (2012)"
2188,1864,54 (1998)
102903,11212,Now You See Me (2013)
4299,3646,"Knight's Tale, A (2001)"
142765,13136,The Program (2015)
4638,3927,Jurassic Park III (2001)
72378,9493,2012 (2009)
1643,1405,"Mrs. Brown (a.k.a. Her Majesty, Mrs. Brown) (1997)"
5419,4526,Scooby-Doo (2002)
5902,4876,Adaptation (2002)
6218,5088,Bend It Like Beckham (2002)
314,295,"Secret of Roan Inish, The (1994)"
1228,1064,Raging Bull (1980)
187541,15199,Incredibles 2 (2018)
1100,957,Days of Thunder (1990)
2946,2526,Help! (1965)
2863,2449,"Hard Day's Night, A (1964)"
69844,9305,Harry Potter and the Half-Blood Prince (2009)
5541,4624,Hot Shots! (1991)
217465,16336,Tenet (2020)
1663,1423,Stripes (1981)
1387,1208,Jaws (1975)
4367,3700,Lara Croft: Tomb Raider (2001)
6537,5316,Terminator 3: Rise of the Machines (2003)
1135,985,Private Benjamin (1980)
85438,10204,Jane Eyre (2011)
2174,1851,Beetlejuice (1988)
90746,10504,"Adventures of Tintin, The (2011)"
6566,5336,Spy Kids 3-D: Game Over (2003)
232,217,Eat Drink Man Woman (Yin shi nan nu) (1994)
3911,3320,Best in Show (2000)
5114,4303,"Bad and the Beautiful, The (1952)"
192379,15401,First Man (2018)
60126,8814,Get Smart (2008)
2384,2027,Babe: Pig in the City (1998)
7458,5971,Troy (2004)
266,251,Legends of the Fall (1994)
195273,15554,Happy Ending (2010)
2944,2524,"Dirty Dozen, The (1967)"
2302,1951,My Cousin Vinny (1992)
798,705,Daylight (1996)
2861,2447,For Love of the Game (1999)
188307,15226,Hotel Transylvania 3: Summer Vacation (2018)
56367,8577,Juno (2007)
122916,12206,Thor: Ragnarok (2017)
605,561,One Fine Day (1996)
2193,1868,Willow (1988)
47836,8044,Sketches of Frank Gehry (2005)
1503,1299,8 Heads in a Duffel Bag (1997)
924,800,2001: A Space Odyssey (1968)
613,568,Jane Eyre (1996)
64278,9034,"Pervert's Guide to Cinema, The (2006)"
229797,16568,Happiest Season (2020)
163949,13997,The Beatles: Eight Days a Week - The Touring Years (2016)
63113,8992,Quantum of Solace (2008)
31685,7284,Hitch (2005)
3535,3015,American Psycho (2000)
39427,7655,Stay (2005)
1639,1401,Chasing Amy (1997)
69481,9278,"Hurt Locker, The (2008)"
167064,14172,I Am Not Your Negro (2017)
1537,1320,Shall We Dance? (Shall We Dansu?) (1996)
1208,1044,Apocalypse Now (1979)
207313,16049,Knives Out (2019)
2294,1944,Antz (1998)
2791,2384,Airplane! (1980)
4016,3412,"Emperor's New Groove, The (2000)"
50011,8181,"Bothersome Man, The (Brysomme mannen, Den) (2006)"
237,222,Forget Paris (1995)
367,347,"Mask, The (1994)"
160271,13827,Central Intelligence (2016)
56782,8600,There Will Be Blood (2007)
208,195,Waterworld (1995)
4359,3695,"Seven Year Itch, The (1955)"
183197,14988,Dave Chappelle: Equanimity (2017)
7090,5727,Hero (Ying xiong) (2002)
6696,5428,Bollywood/Hollywood (2002)
1831,1537,Lost in Space (1998)
432,404,City Slickers II: The Legend of Curly's Gold (1994)
42013,7745,"Ringer, The (2005)"
186177,15137,Trolls Holiday (2017)
1350,1177,"Omen, The (1976)"
96079,10821,Skyfall (2012)
4482,3795,"Bright Lights, Big City (1988)"
180,168,Mallrats (1995)
553,521,Tombstone (1993)
106487,11432,The Hunger Games: Catching Fire (2013)
3030,2598,Yojimbo (1961)
107,103,Muppet Treasure Island (1996)
43919,7819,Date Movie (2006)
62374,8958,Body of Lies (2008)
3753,3193,"Patriot, The (2000)"
4466,3782,Above the Law (1988)
2770,2365,Bowfinger (1999)
3501,2986,Murphy's Romance (1985)
168250,14231,Get Out (2017)
521,491,Romeo Is Bleeding (1993)
196317,15595,The Heroic Trio (1993)
350,330,"Client, The (1994)"
31,30,Dangerous Minds (1995)
1381,1204,Grease 2 (1982)
3639,3096,"Man with the Golden Gun, The (1974)"
6365,5196,"Matrix Reloaded, The (2003)"
7380,5933,Ella Enchanted (2004)
167036,14169,Sing (2016)
148626,13376,"Big Short, The (2015)"
3354,2865,Mission to Mars (2000)
4848,4099,Mulholland Drive (2001)
2425,2067,"General, The (1998)"
2539,2167,Analyze This (1999)
